[1013/182058:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182303:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183711:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183947:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/093559:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100155:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101048:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101130:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101550:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101845:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/123415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/123431:ERROR:file_io.cc(30)] read: expected 4, observed 0
